active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
1,🔴 Bad Trader,37.353767274408305,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x9eca94fab7ffaa24c0e4d4af50705cf18b356be3
1,🔴 Bad Trader,48.082061203581155,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x505e0658d88ef0b3c0dca219f2293d19751f06a1
1,🔴 Bad Trader,0.6070356429103133,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x9ac956c9dbb3e96dd433d0a423a9bcbf2827349f
1,🔴 Bad Trader,28.797983999999996,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0xf9fd49834c5b631eec2565be9a5a3c956eb96f17
2,🔴 Bad Trader,46.148769359999996,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,5,0xa5fba5ea3fd13b7613f90f126b0b92d45a9e7dfa
6,🔴 Bad Trader,68.38841126829251,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,16,0x385606dbc3b81add791ab15682bedb624a723b33
2,🔴 Bad Trader,3.604169045113177,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x13cf5dea699f1da0373813076f45ac2988e76659
12,🔴 Bad Trader,70.3327934562652,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,31,0xc87750247834b99f3f0c6e166ea6f10f93041517
1,🔴 Bad Trader,3.521146717297714,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0xc8bf31457de315e4fc71907cd63adf1bdd849e82
1,🔴 Bad Trader,14.798964,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x1786c6d2bc27c3b9f22f0e1229dc92792d2147da
1,🔴 Bad Trader,263.89752588,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2b18c8ceaf6111a4ec24f5eedc98359a711aa194
11,🔴 Bad Trader,0.1403101776,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,22,0xa8c94990fd2c38e6b8685c6c9fc83cd4153973bc
1,🔴 Bad Trader,7.199495999999999,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x33a9b84852dd76c3b962c686a86e8d5107d8d036
1,🔴 Bad Trader,2.3198376,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x211a1161a2f9966e409cfb077acb2334c072d088
4,🔴 Bad Trader,28.83659663989092,🐤 Regular User,🦐 Low Value Trader,🐦 OG,4,0xc6c6caaa0225b4e147dcfa17cd582ac88eb8c7b1
3,🔴 Bad Trader,42.67071691327811,🐤 Regular User,🦐 Low Value Trader,🐦 OG,3,0xca65c5373ef1e463839175b02a9ecd0ae5f11a81
1,🔴 Bad Trader,3.99972e-07,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x249f6b9da24610d4ed33279d7f634491c05e3f8a
1,🔴 Bad Trader,73.09571125155253,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x9f02ac89f6e3c8fc97f8a69595745f8b39ae0df6
